listing_id,host_id,host_since,name,neighbourhood,district,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
6369,13660,2009-04-16,"Rooftop terrace room ,  ensuite bathroom",Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,90.0,102,4.87
521329,2563986,2012-06-06,Nice&perfect location singel room,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,30.0,0,
544736,1284868,2011-10-13,SUNNY & EASY ACCESIBLE BEDROOM,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,26.0,64,4.81
5210987,2563986,2012-06-06,Single room in Castellana/Chamartin,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,30.0,0,
5583981,28953035,2015-03-08,Habitación muy luminosa y tranquila,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,30.0,29,4.86
5691640,28953035,2015-03-08,apartamento 3 habitaciones,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,3.0,100.0,17,4.47
6454937,1284868,2011-10-13,HERMOSA HABITACION  INDIVIDUAL,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,28.0,32,4.84
7977144,8815003,2013-09-13,Dormitorio cama doble en precioso piso,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,37.0,6,5.0
12339862,9194351,2013-10-02,Moderno apartamento zona BERNABEU,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,70.0,11,4.63
15292541,64042950,2016-03-22,Preciosa habitación con baño privado Zona Bernabéu,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,74.0,14,4.79
14997405,94575991,2016-09-11,Temporadas. Bernabeu. IFEMA. Jardines. Tu casa,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,3.0,150.0,59,4.95
15095630,5291754,2013-03-02,Habitación doble de lujo baño privado + sofacama,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,71.0,30,4.93
15095901,5291754,2013-03-02,"Moderna habitación doble con baño privado, lujo.",Hispanoamérica,Chamartín,Private room in floor,Private room,1.0,56.0,50,4.96
17267431,18760415,2014-07-23,Acogedor y luminoso apartamento ZONA BERNABEU,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,1.0,60.0,137,4.66
16907257,88431017,2016-08-07,REAL MADRID BERNABEU-Pº DE LA HABANA FOR 4 - 1 BR,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,1.0,74.0,322,4.66
16914890,12090537,2014-02-09,Apartment with spectacular views,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,2.0,141.0,107,4.56
17762660,88431017,2016-08-07,REAL MADRID BERNABEU- FOR 8 3 BEDR.,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,3.0,143.0,330,4.57
19679924,119507675,2017-03-06,Madrid - Hispanoamérica,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,100.0,1,0.0
19612960,19531394,2014-08-05,"Amplio, silencioso, limpio, moderno y nuevo.",Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,2.0,109.0,6,5.0
23084860,170537318,2018-01-29,Red Room,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,200.0,1,4.0
24323668,19847529,2014-08-11,Modern loft in the heart of Madrid,Hispanoamérica,Chamartín,Entire loft,Entire home/apt,,67.0,58,4.93
24743779,19531394,2014-08-05,"Impecable, nuevo, cómodo, junto al metro Colombia",Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,1.0,100.0,10,5.0
26285762,117004961,2017-02-18,Apartamento moderno cerca del Santiago Bernabéu,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,2.0,190.0,35,4.94
26946993,198434043,2018-06-27,Double Room with balcony -  Roisa Hostal Boutique,Hispanoamérica,Chamartín,Private room in hostel,Private room,1.0,163.0,2,4.0
27464980,198434043,2018-06-27,Junior Suite with Balcony - Roisa Hostal Boutique,Hispanoamérica,Chamartín,Private room in hostel,Private room,1.0,211.0,12,4.0
27318670,99063492,2016-10-10,Habitación 3,Hispanoamérica,Chamartín,Private room in home,Private room,1.0,79.0,1,5.0
27465016,198434043,2018-06-27,Double Room -  Roisa Hostal Boutique,Hispanoamérica,Chamartín,Private room in hostel,Private room,1.0,156.0,6,4.0
28212304,8815003,2013-09-13,Habitación individual en Madrid,Hispanoamérica,Chamartín,Private room in rental unit,Private room,1.0,27.0,21,4.71
28931449,39006749,2015-07-20,Precioso apartamento reformado en zona exclusiva,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,1.0,99.0,57,4.51
31672518,6673480,2013-05-31,"""Suite Lujan"" Studio with Incredible Views, Pool",Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,1.0,56.0,16,4.13
30857968,229589205,2018-12-07,Gran apartamento Madrid,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,2.0,85.0,91,4.74
32459352,243849993,2019-02-18,Bright and comfortable apartment in Madrid! 4 PAX,Hispanoamérica,Chamartín,Entire rental unit,Entire home/apt,1.0,104.0,71,4.58
34376725,259536848,2019-05-03,Chalet Duplex - 3BD 2BT - Chamartin/Bernabeu,Hispanoamérica,Chamartín,Entire chalet,Entire home/apt,3.0,170.0,28,4.32
