rank,name,id,bubble,reviewCount,priceRange,claimed,travelers,photos,thefork,justeat,cuisines,diets,meals,features,neigh,excellent,verygood,average,poor,terrible,revEnglish,revSpanish
1,Los Montes de Galicia,d2006562,5.0,11554,$$ - $$$,True,True,7338,False,False,"Spanish, International, Mediterranean, Healthy","Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night, Drinks","Reservations, Private Dining, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Salamanca (District),1766,136,30,6,6,1944,8434
2,Brunchit Chueca,d25378968,5.0,142,$$$$,True,False,133,False,False,"International, Cafe, Healthy",,"Breakfast, Lunch, Brunch, Drinks, Dinner","Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Reservations, Highchairs Available, Wine and Beer, Dog Friendly",0.2 miles from Gay Madrid & the Chueca District,31,1,0,0,0,32,97
3,Restaurante La Gaditana,d5787470,4.5,2387,$$ - $$$,True,True,817,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),100,14,0,3,3,120,2173
4,Sibuya Urban Sushi Bar · CC Caleido,d25126529,5.0,432,$$ - $$$,True,False,124,False,False,,,"Lunch, Dinner","Reservations, Seating, Table Service",1.7 miles from Santiago Bernabeu Stadium,8,0,0,0,0,8,423
5,Billy Brunch,d25300877,5.0,118,$$ - $$$,True,False,152,False,False,"French, American, Swiss, European",,"Breakfast, Lunch, Brunch",,0.3 miles from Gay Madrid & the Chueca District,28,1,0,0,0,29,81
6,Kathmandu Tandoori House,d12488993,5.0,2675,$$ - $$$,True,True,905,False,False,"Indian, Asian, Healthy, Nepali","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Barajas (District),846,27,9,2,4,888,1687
7,Zenith Brunch & Cocktails - Desengaño,d25370839,5.0,312,$$ - $$$,True,False,219,False,False,"American, Cafe, Contemporary, Healthy",,"Breakfast, Lunch, Brunch","Delivery, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Non-smoking restaurants, Gift Cards Available, Highchairs Available, Table Service",0.2 miles from Gran Via,176,12,2,0,0,190,92
8,El Sur de Moratín,d25460152,5.0,572,$$ - $$$,True,False,323,False,False,Spanish,,"Lunch, Dinner, Late Night, Drinks",,0.2 miles from Caixa Forum,212,12,2,2,2,230,204
9,Ástor,d11896546,5.0,1870,$$ - $$$,True,True,1347,False,False,"International, Mediterranean, European, Fusion, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Centro,435,27,2,3,4,471,1022
10,Pastamore Alcalá,d18480953,5.0,1029,$$ - $$$,True,True,497,False,True,"Italian, Pizza, Mediterranean, Healthy, Tuscan, Sicilian, Central-Italian, Southern-Italian",Vegetarian Friendly,,,Salamanca (District),112,7,0,0,0,119,826
11,Brunchit Malasaña,d24123606,5.0,553,$$ - $$$,True,False,517,False,False,"Cafe, Mediterranean, Healthy, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks",,0.3 miles from Gran Via,190,9,1,1,1,202,281
12,Steak Burger Fuencarral,d5827906,4.5,3662,$$ - $$$,True,True,1063,False,False,"American, Barbecue","Vegetarian Friendly, Gluten Free Options",,,Universidad,279,74,15,13,11,392,2982
13,Almalibre Açai House Madrid,d18930235,5.0,159,$$ - $$$,True,True,100,False,False,"Cafe, Healthy","Vegetarian Friendly, Vegan Options",,,Salesas,29,0,0,0,0,29,125
14,Nepali Kathmandu Tandoori House,d23810194,5.0,85,$$ - $$$,True,True,29,False,True,"Indian, Asian, Nepali","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Drinks","Delivery, Takeout, Seating, Serves Alcohol, Free Wifi, Table Service, Reservations, Street Parking, Free off-street parking, Wine and Beer, Accepts Credit Cards, Drive Thru, Family style",1.6 miles from Parque Juan Carlos I,45,1,0,0,0,46,38
15,Pizzart Villa Luchana,d23748800,5.0,808,$$ - $$$,True,True,250,False,False,"Italian, Pizza, Healthy, Central-Italian, Tuscan, Romana, Lazio, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options",,,,41,3,0,2,2,48,748
16,Zenith Brunch & Cocktails - Valverde,d17340009,5.0,3636,$$ - $$$,True,False,2481,False,False,"Cafe, European, Healthy, International","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, Drinks","Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Universidad,1670,138,20,10,10,1848,1167
17,Trattoria Pulcinella,d795373,4.5,2808,$$ - $$$,True,True,1089,False,False,"Italian, Neapolitan, Campania, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Outdoor Seating, Full Bar, Reservations, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Family style",Centro,324,45,10,3,8,390,2118
18,La Vaca Argentina Ventura,d23820424,5.0,1424,$$ - $$$,True,True,1095,False,False,"Steakhouse, Barbecue, Argentinean",,"Lunch, Dinner, Late Night, Drinks",,,292,15,8,2,2,319,841
19,Steakburger Preciados,d12664284,4.5,1563,$$ - $$$,True,True,685,False,False,"Argentinean, American",Gluten Free Options,,,Sol,197,37,10,3,14,261,1108
20,steakburger Las Tablas ,d26271928,5.0,215,$$ - $$$,True,False,84,False,True,"American, Steakhouse, Mediterranean, Grill",,"Lunch, Dinner, Late Night, Drinks","Seating, Table Service, Reservations",,2,1,0,0,0,3,212
21,La Pizzateca,d2086638,4.5,1155,$,True,True,283,False,True,"Italian, Pizza, Fast Food, Mediterranean, Healthy, Romana, Lazio, Central-Italian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Delivery, Takeout, Reservations, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Wheelchair Accessible, Accepts Credit Cards, Table Service",Huertas,322,53,10,2,2,389,557
22,Entre Santos Madrid,d14062978,5.0,1352,$$ - $$$,True,True,1453,False,False,"Mediterranean, Spanish, Fusion, European, Healthy, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Late Night, Drinks","Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Digital Payments, Dog Friendly",Centro,420,27,7,5,5,464,397
23,Malvón Paseo del Prado,d23813088,5.0,115,$$ - $$$,True,False,54,False,False,"Argentinean, Fast Food",Vegetarian Friendly,"Breakfast, Lunch, Dinner",,0.2 miles from Prado National Museum,18,1,0,0,0,19,88
24,Pizzart Villa Recoletos,d26271599,5.0,203,$$ - $$$,True,False,90,False,False,"Italian, Pizza, Mediterranean",,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",,0.3 miles from Paseo del Prado,17,0,1,0,0,18,176
25,Steak Burger Luchana,d3599952,4.5,1551,$$ - $$$,True,True,355,False,False,"American, Fast Food, Barbecue","Vegetarian Friendly, Gluten Free Options",,,Chamberi,91,30,10,3,0,134,1345
26,Oven Mozzarella,d24190348,5.0,732,$$ - $$$,True,False,327,False,False,"Italian, Pizza, Healthy, Central-Italian, Southern-Italian","Vegetarian Friendly, Gluten Free Options","Breakfast, Lunch, Dinner",,0.1 miles from Puerta del Sol,87,11,2,1,2,103,581
27,Taberna de Peñalver,d21328133,5.0,1174,$$ - $$$,True,True,933,False,False,"Seafood, Mediterranean, Spanish, Healthy, Dining bars",,"Breakfast, Lunch, Dinner, Drinks",,Salamanca (District),175,4,3,2,3,187,807
28,Steakburger Arenal,d17351325,5.0,1793,$$ - $$$,True,True,781,False,False,"American, Steakhouse, Barbecue",Gluten Free Options,,,Sol,280,26,16,5,7,334,1154
29,El Velázquez 17 - Restaurante,d7229136,4.5,635,$$ - $$$,True,True,408,False,True,"Mediterranean, European, Spanish, Contemporary, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salamanca (District),70,27,2,3,5,107,503
30,Sibuya Urban Sushi Bar Madrid C/Orense,d19600810,5.0,884,$$ - $$$,True,True,397,False,False,"Japanese, Sushi, Asian, Healthy, Japanese Fusion",,"Lunch, Dinner, Drinks",,Cuatro Caminos,14,1,0,0,0,15,867
31,Pizzart Villa Fuencarral,d23151163,5.0,971,$$ - $$$,True,False,407,False,True,"Italian, Pizza, Romana, Lazio, Central-Italian, Southern-Italian, Mediterranean, Healthy, Neapolitan, Campania, Tuscan, Sicilian","Vegetarian Friendly, Vegan Options",,,Centro,64,3,1,0,0,68,845
32,Peppe Fusco The Italian,d23845263,5.0,609,$$ - $$$,True,True,341,False,False,"Italian, Mediterranean, Healthy, Neapolitan, Campania, Tuscan, Central-Italian, Southern-Italian",,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",0.2 miles from Malasana,42,3,0,1,0,46,531
33,Azotea Forus Barcelo,d10730339,5.0,2176,$$ - $$$,True,False,540,False,False,"International, European, Spanish, Healthy, Street Food","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Centro,115,10,5,4,3,137,1965
34,Maruzzella,d1059471,4.5,1038,$$ - $$$,True,True,332,False,False,"Italian, Neapolitan, Campania, Tuscan, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Chamberi,28,12,2,0,0,42,937
35,Taberna el Sur,d2527526,4.5,8601,$$ - $$$,True,True,5190,False,False,"Bar, Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Highchairs Available, Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service",Embajadores,3288,403,84,36,18,3829,1828
36,Ornella Velázquez,d8855793,4.5,2364,$$ - $$$,True,True,1001,False,False,"Italian, Mediterranean, European, Healthy, Neapolitan, Campania, Tuscan, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",Salamanca (District),104,20,11,5,6,146,2104
37,Steakburger Gran Vía 16,d12581722,5.0,5599,$$ - $$$,True,True,2131,False,False,"American, Steakhouse, Barbecue","Vegetarian Friendly, Gluten Free Options",,,Justicia,689,117,28,16,27,877,3788
38,WelkhomeClub,d17835300,4.5,176,$,True,True,146,True,True,"Latin, Mediterranean, International, Fusion, Gastropub","Vegetarian Friendly, Vegan Options",,,Chamberi,24,0,0,0,0,24,148
39,SteakBurger Gran Vía 55,d21090214,5.0,1514,$$ - $$$,True,True,610,False,False,"American, Steakhouse",Gluten Free Options,,,Centro,95,13,4,0,2,114,1322
40,La Bistroteca,d9879706,5.0,1065,$$ - $$$,True,True,1100,False,False,Fusion,"Vegetarian Friendly, Gluten Free Options",,,Salamanca (District),14,3,0,0,1,18,1034
41,Steakburger Atocha,d7225121,4.5,3938,$$ - $$$,True,True,1178,False,False,,Gluten Free Options,"Lunch, Dinner",,Paseo del Prado,500,134,31,8,12,685,2697
42,Oven mozzarella Las Tablas,d10509960,4.5,1363,$$ - $$$,True,True,317,False,True,"Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options",,,Valverde,23,7,3,3,0,36,1312
43,Taberna Más Al Sur,d8396325,4.5,6365,$$ - $$$,True,True,3872,False,False,"Mediterranean, European, Spanish, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Embajadores,2030,212,37,16,14,2309,1978
44,Amordmadre,d18186946,5.0,439,$$ - $$$,True,False,294,False,False,"Mediterranean, Spanish, Healthy, Fusion, Street Food",Vegan Options,,,Ensanche de Vallecas,2,0,0,0,0,2,437
45,Sibuya Urban Sushi Bar Chueca,d14962689,4.5,1023,$$ - $$$,True,True,638,False,False,"Japanese, Sushi, Asian, Healthy, Japanese Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,Salesas,47,6,5,0,2,60,935
46,Pizzart Villa Canalejas,d19600933,5.0,914,$$ - $$$,True,True,433,False,False,"Italian, Pizza, Mediterranean, Healthy, Tuscan, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options",,,Centro,80,4,1,0,1,86,753
47,Pummarola,d819624,4.5,604,$$ - $$$,True,True,177,False,False,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Tuscan, Central-Italian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options",,,,8,6,0,0,0,14,575
48,Oven Mozzarella Atocha,d12442637,4.5,2985,$$ - $$$,True,True,1216,False,False,"Italian, Tuscan, Central-Italian","Vegetarian Friendly, Vegan Options",,,Paseo del Prado,384,64,27,4,5,484,2150
49,Cícero,d991585,5.0,169,$$$$,True,True,155,True,False,"Mediterranean, Spanish, Grill, Fusion",,"Lunch, Dinner, Late Night, Drinks",,Retiro,19,1,0,0,0,20,143
50,Astral,d991697,5.0,312,$$ - $$$,True,True,96,False,True,"Mediterranean, European, Spanish","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks",,Carabanchel,2,0,0,1,0,3,306
